epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1552.6,1.32746,1.21304,1.47701,0.80039,0.78195,0.7945,0.45396,1.41424,1.0085,1.54477,0.00126621,0.00126621,0.00126621
87,1570.55,1.37392,1.32477,1.51479,0.77036,0.77068,0.79797,0.48091,1.3499,1.01688,1.5153,0.00126149,0.00126149,0.00126149
88,1588.45,1.28616,1.16314,1.44006,0.73529,0.77444,0.734,0.44364,1.40045,1.33027,1.53764,0.00125678,0.00125678,0.00125678
89,1606.37,1.30776,1.14748,1.48103,0.84992,0.82331,0.85168,0.53878,1.23167,0.83738,1.41977,0.00125206,0.00125206,0.00125206
90,1624.39,1.2681,1.08857,1.38899,0.81682,0.76926,0.79283,0.49941,1.29713,1.0394,1.47181,0.00124734,0.00124734,0.00124734
91,1642.28,1.30507,1.16638,1.4426,0.80616,0.77444,0.79901,0.50501,1.26634,0.93535,1.48142,0.00124263,0.00124263,0.00124263
92,1660.24,1.33993,1.23134,1.47683,0.83401,0.78571,0.83392,0.525,1.26314,0.85461,1.42963,0.00123791,0.00123791,0.00123791
93,1678.14,1.321,1.13103,1.43063,0.78585,0.78195,0.80626,0.48065,1.38147,0.90293,1.53557,0.0012332,0.0012332,0.0012332
94,1696.04,1.31702,1.14392,1.46233,0.82719,0.76974,0.8078,0.5059,1.28019,0.85483,1.45161,0.00122848,0.00122848,0.00122848
95,1713.96,1.30692,1.15238,1.44356,0.75566,0.78947,0.79035,0.48398,1.33227,0.90775,1.49517,0.00122377,0.00122377,0.00122377
96,1731.87,1.30916,1.20689,1.46955,0.79662,0.80075,0.80493,0.49191,1.30459,1.22288,1.52376,0.00121905,0.00121905,0.00121905
97,1749.8,1.35403,1.21354,1.48341,0.80719,0.78926,0.83654,0.5054,1.35439,0.88386,1.49814,0.00121434,0.00121434,0.00121434
98,1767.73,1.35295,1.24477,1.45859,0.74359,0.78195,0.7662,0.46415,1.35786,1.24691,1.49565,0.00120962,0.00120962,0.00120962
99,1785.68,1.31342,1.14621,1.46903,0.86454,0.75188,0.84268,0.52873,1.2519,0.84986,1.43336,0.00120491,0.00120491,0.00120491
100,1803.58,1.21986,1.00174,1.3598,0.81299,0.78947,0.79813,0.49222,1.36257,0.94126,1.48765,0.00120019,0.00120019,0.00120019
101,1821.49,1.27882,1.04155,1.40211,0.81471,0.78757,0.83317,0.47662,1.44264,0.88854,1.57072,0.00119548,0.00119548,0.00119548
102,1839.42,1.28251,1.1069,1.41094,0.82675,0.75188,0.78843,0.46124,1.39747,0.9853,1.57206,0.00119076,0.00119076,0.00119076
103,1857.34,1.3468,1.21825,1.48388,0.51223,0.5155,0.50831,0.28465,1.64128,3.32504,1.69589,0.00118605,0.00118605,0.00118605
104,1875.24,1.31671,1.11543,1.44315,0.86189,0.78571,0.82198,0.49921,1.32243,0.9292,1.49481,0.00118133,0.00118133,0.00118133
105,1893.16,1.33084,1.13763,1.46968,0.84338,0.80792,0.83787,0.52078,1.30247,0.83043,1.47241,0.00117662,0.00117662,0.00117662
106,1911.1,1.31356,1.10665,1.43508,0.87035,0.78947,0.82272,0.51832,1.22498,0.8462,1.43695,0.0011719,0.0011719,0.0011719
107,1929.01,1.24925,1.05961,1.41696,0.70277,0.70143,0.68666,0.41304,1.4354,1.68453,1.53776,0.00116719,0.00116719,0.00116719
108,1946.93,1.28175,1.10176,1.435,0.87235,0.78195,0.83252,0.5126,1.29809,0.83884,1.45429,0.00116247,0.00116247,0.00116247
109,1964.85,1.22904,1.01417,1.39402,0.8168,0.80451,0.842,0.56177,1.1643,0.81259,1.38323,0.00115776,0.00115776,0.00115776
110,1982.82,1.25149,1.06592,1.42733,0.84336,0.81955,0.84142,0.53037,1.19512,0.82865,1.43143,0.00115304,0.00115304,0.00115304
111,2000.76,1.26697,1.0576,1.40176,0.80238,0.71517,0.7426,0.44843,1.39311,1.24376,1.51033,0.00114832,0.00114832,0.00114832
112,2018.7,1.31554,1.16212,1.45297,0.83778,0.75188,0.813,0.50438,1.25142,0.94883,1.44046,0.00114361,0.00114361,0.00114361
113,2036.63,1.30075,1.1405,1.44197,0.83847,0.74259,0.80874,0.50198,1.26556,0.93976,1.41358,0.00113889,0.00113889,0.00113889
114,2054.52,1.2624,1.05012,1.37695,0.86025,0.7923,0.84052,0.51114,1.28612,0.80012,1.45059,0.00113418,0.00113418,0.00113418
115,2072.43,1.27649,1.08,1.42967,0.84372,0.78947,0.84744,0.51987,1.33034,0.82365,1.45045,0.00112946,0.00112946,0.00112946
116,2090.34,1.25014,1.03666,1.38105,0.86724,0.77842,0.82953,0.52491,1.20123,0.8417,1.38178,0.00112475,0.00112475,0.00112475
117,2108.24,1.20409,0.96939,1.35645,0.8034,0.79323,0.82972,0.51597,1.26949,0.89855,1.43734,0.00112003,0.00112003,0.00112003
118,2126.19,1.27181,1.10281,1.41024,0.7656,0.73308,0.72316,0.47183,1.30564,1.88887,1.43132,0.00111532,0.00111532,0.00111532
119,2144.16,1.29901,1.12147,1.42131,0.83734,0.80451,0.83186,0.53665,1.24465,0.82451,1.39939,0.0011106,0.0011106,0.0011106
120,2162.06,1.26974,1.09548,1.38776,0.83078,0.7622,0.79111,0.47682,1.43486,0.90444,1.54468,0.00110589,0.00110589,0.00110589
121,2180.01,1.23371,1.05563,1.37629,0.83764,0.78571,0.82451,0.50943,1.31154,1.02421,1.4726,0.00110117,0.00110117,0.00110117
122,2197.93,1.22138,1.00458,1.35994,0.83573,0.78571,0.8191,0.48352,1.38293,0.88094,1.48621,0.00109646,0.00109646,0.00109646
123,2215.82,1.20712,0.98762,1.37247,0.82759,0.83083,0.84302,0.52564,1.2918,0.79508,1.46223,0.00109174,0.00109174,0.00109174
124,2233.74,1.23451,0.97194,1.35933,0.82746,0.80286,0.8206,0.52806,1.27935,0.86428,1.4482,0.00108703,0.00108703,0.00108703
125,2251.68,1.26386,1.0443,1.42836,0.91205,0.78947,0.84646,0.54586,1.26334,0.80186,1.43054,0.00108231,0.00108231,0.00108231
126,2269.56,1.23747,1.03128,1.37658,0.88199,0.78195,0.8282,0.51415,1.29705,0.84039,1.46289,0.0010776,0.0010776,0.0010776
127,2287.48,1.27993,1.0775,1.43632,0.86617,0.80075,0.84518,0.554,1.22604,0.79408,1.42365,0.00107288,0.00107288,0.00107288
128,2305.41,1.22935,1.03092,1.37552,0.88117,0.81579,0.84554,0.53556,1.23577,0.80398,1.4148,0.00106817,0.00106817,0.00106817
